"Name","Latitude","Longitude","Address"
"Susquehanna Building",40.1997314002026,-76.7396007493552,"Penn State Harrisburg, Olmsted Drive, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Fleet Services",40.2017773332096,-76.7517450135599,"Fleet Services, Alumni Drive, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"University",40.2019779594632,-76.7521105399776,"Alumni Drive, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Church Hall",40.2039121641488,-76.7511564120855,"Church Hall, Meade Avenue, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Wriseburg Hall",40.2032357894146,-76.751571554755,"Wriseburg Hall, Meade Avenue, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Dining Hall",40.2034830647465,-76.7511344278881,"Dining Hall, Alumni Drive, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Stepping Stones Daycare",40.2023327931569,-76.7515593078456,"Stepping Stones Daycare, Alumni Drive, Lower Swatara Township, Dauphin County, Pennsylvania, 17057, United States"
"Kehr Union Building",41.0065652375605,-76.4501323709697,"Kehr Union Building, Schuyler Drive, Bloomsburg, Columbia County, Pennsylvania, 17815, United States"
"Cairn University",40.1667586134811,-74.9075191867605,"Cairn University, South Flowers Mill Road, Fairless Junction, Middletown Township, Bucks County, Pennsylvania, 19047, United States"
"Thomas Jefferson University East Falls Campus",40.0206940386852,-75.1923822089008,"Thomas Jefferson University East Falls Campus, 4201, Henry Avenue, East Falls, Philadelphia, Philadelphia County, Pennsylvania, 19144, United States"
"Penn State Brandywine",39.9277244490242,-75.4480534043255,"Penn State Brandywine, 25, Yearsley Mill Road, Media, Delaware County, Pennsylvania, 19063, United States"
"Grove City College",41.1559985395328,-80.0795745538638,"Grove City College, 100, Campus Drive, Grove City, Mercer County, Pennsylvania, 16127, United States"
"University",40.0203327483014,-75.1916610113815,"Thomas Jefferson University East Falls Campus, 4201, Henry Avenue, East Falls, Philadelphia, Philadelphia County, Pennsylvania, 19144, United States"
"University",40.0193171863202,-75.1787287621615,"West Queen Lane, East Falls, Philadelphia, Philadelphia County, Pennsylvania, 19129, United States"
"Villanova University",40.0369365043091,-75.3419990378117,"Villanova University, Willowbrook Lane, Lower Merion Township, Montgomery County, Pennsylvania, 19085, United States"
"University",40.4246815746489,-79.7430307527234,"Haven Drive, Monroe Heights, Monroeville, Allegheny County, Pennsylvania, 15146, United States"
"Canevin Hall (DU)",40.4362542504325,-79.99229624945,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Duquesne University",40.4364795074181,-79.9904507045618,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Lavel House (DU)",40.4362353315363,-79.9916765162301,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"College Hall (DU)",40.436633032462,-79.9900910108147,"College Hall (DU), Locust Street, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Brottier Hall",40.4374472284623,-79.9931069361227,"Brottier Hall, Boyd Street, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15262, United States"
"Rockwell Hall (School of Business) (DU)",40.4375215088558,-79.9936862110362,"Rockwell Hall (School of Business) (DU), Shingiss Street, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Administration Building",40.4358090515239,-79.9931060548524,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Assumption Hall (DU)",40.4354026384186,-79.9871183690064,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Trinity Hall (DU)",40.4364847091045,-79.9938305367657,"Duquesne University, McAnulty Drive, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Duquesne University Student Union",40.4366070978807,-79.990867252148,"Duquesne University Student Union, Armstrong Tunnel, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15282, United States"
"University of Pittsburgh - Bradford Campus",41.9443890261073,-78.6724855271129,"University of Pittsburgh - Bradford Campus, 300, Campus Drive, Bradford, McKean County, Pennsylvania, 16701, United States"
"Harrisburg University of Science and Technology",40.2619395916314,-76.8803444101598,"Harrisburg University of Science and Technology, 326, Market Street, SoMa, Harrisburg, Dauphin County, Pennsylvania, 17101, United States"
"TECH Center",39.9801167932215,-75.1531463631925,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Howard Gittis Student Center",39.9793801304975,-75.1550003572619,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Temple University School of Medicine",40.006988228506,-75.1522024676105,"Temple University - Health Sciences Campus, West Venango Street, Chopersville, Philadelphia, Philadelphia County, Pennsylvania, 19140, United States"
